review_id,run_id,source_layer,source_id,source_name,source_type,master_site_id_candidate,master_site_name,master_site_type,distance_m,score,review_bucket,review_action_default,suggested_decision,business_decision,comments,qa_color,qa_icon,WKT
84d702c4-7627-4fb2-a00a-1e99d851cddd,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,33,STE RIHAM IKHWANE,MINE,05a9236d-74e8-40a0-8370-7f69d42cd18b,STE RIHAM IKHWANE,infra.mine_inventaire_pollution,0.36,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(511294 388316)
130663c9-ed66-44b7-b620-61a889d43542,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,17,,MINE,53d41cac-403b-486a-a01f-03d44d66cdbb,343189.00000000000,infra.mine_inventaire_pollution,0.36,0.540,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(443750 355201)
5aace782-f5cf-42b2-98a9-7a2a73c8fc5b,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,30,STE MINIERE BOUHRAMAT,MINE,e15b32d2-4243-4c36-8077-9ee51977a10c,STE MINIERE BOUHRAMAT,infra.mine_inventaire_pollution,0.37,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(525941 393063)
2c289eec-ca06-4dc7-8e71-3f664a88c547,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,84,décharge publique,DECHARGE,bf242e6e-fe86-4070-9a2c-aa93c892e923,Décharge Publique,infra.decharge_inventaire_pollution_general,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(494617.83 454118.66)
b48c7205-c839-4308-83d9-53f0c0dbd8c5,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,216,Elhaj Ali,HUILERIE,0968b682-9ed5-48cb-b2b8-4f54fab326b1,Elhaj Ali,infra.huilerie_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(496753 458523)
b15ca81e-8627-4fc7-ac3b-60c994d0670b,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,230,Smimih,HUILERIE,8c1046e5-0cf9-4ccf-ab17-320bcc6472ae,Smimih,infra.huilerie_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(502067 465078)
98304b87-4ba8-4879-a4d5-84470feb7e48,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,441,STE.OLIVIER NORD,HUILERIE,a79614df-4685-4116-9a2f-3541dc522632,STE.OLIVIER NORD,infra.huilerie_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(580549 357189)
2c13ceaf-c1cb-4785-96e0-a385f364a452,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,468,REGRAGI BRAHIM,HUILERIE,253f6050-1375-4817-860a-ccdf2b409e9a,REGRAGI BRAHIM,infra.huilerie_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(552545 357595)
a228bcaf-e760-4d7a-b365-2aa2368ca5fe,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,36,STE UNION D'EXPLOITATION DESMINES ET CARRIERES,MINE,6934f0c0-40a6-4fd0-9877-39cceeb7244d,STE UNION D'EXPLOITATION DESMINES ET CARRIERES,infra.mine_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(496623 337128)
5cef3c97-461a-4311-b48d-5be4d8873d56,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,37,ONHYM,MINE,9bdd4dd1-962d-4375-a9a4-4b6f243d6f04,ONHYM,infra.mine_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(488791 381875)
5c35ff53-894a-47ff-b156-bc833d363ea9,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,38,ONHYM,MINE,67ff88a9-1e1a-4193-a3ec-caccd9ee12a3,ONHYM,infra.mine_inventaire_pollution,0.38,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(485541 379625)
