run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,88125740-fd93-4cc3-baca-36ada2fe9374,19067853-a311-4216-be21-beee8604c76b,infra.huilerie,319,c147cd72-d085-4ebd-bd19-7123c24e7e28,0.0,0.7400,DUPLICATE_EXACT,Bab haoura,Bab haoura,,Oulad zbair,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,885050eb-0800-4855-acad-219a3e073588,8b299a14-ed71-46f9-9b34-ae873ae55da6,infra.huilerie,320,aa40c5c1-0834-4d07-a09b-d006bacfc115,0.0,0.7400,DUPLICATE_EXACT,Chajara mobarika,Chajara mobarika,,Oulad zbair,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,0cf10f55-2681-4f83-ae96-344624f35948,2a60840f-c3c6-4cb0-ad1b-843938a46de3,infra.huilerie,321,19cb25c5-5ab9-42a5-91ba-1d522dc4a55d,0.0,0.7400,DUPLICATE_EXACT,Huile nakhla,Huile nakhla,,Oulad zbair,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,51e750cb-89e6-4b02-8817-8026d9a6cb10,ad8dbe86-fdec-4d05-920f-7dddf8571da6,infra.huilerie,322,aab0a90e-0a2f-41f7-810c-2fbe38357184,0.0,0.7400,DUPLICATE_EXACT,Oulad zbair,Oulad zbair,,Oulad zbair,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,35432b05-e99c-4f3b-8ad4-fc0e28d88b8e,8fc7d5d0-68b8-4880-9342-dfc3db398007,infra.huilerie,365,1b25789a-cc9e-4942-9814-dedda992ba02,0.0,0.7400,DUPLICATE_EXACT,GIE Tsouli,GIE Tsouli,,Oulad zbair,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,8e6709cf-9219-4fad-af3c-5cfa5a7d1793,851ecccb-2aea-47f6-849e-c3b5c962597e,infra.huilerie,333,e7cf790f-9f8c-44f9-8bc8-cd749fbe7677,0.0,0.7400,DUPLICATE_EXACT,Zmaro ikhwan,Zmaro ikhwan,,Bouchfaa,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,1079f990-a198-499c-945a-fce58db1409b,c53b3d17-e227-4187-b2ec-ed31a04a5486,infra.huilerie,360,76b41a0d-6d5a-4736-8cf9-da2fe2400823,0.0,0.7400,DUPLICATE_EXACT,Aghbal,Aghbal,,Bouchfaa,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,a2dd660d-e87e-41fd-b712-bb5a3eb92910,9c6301f3-ff5d-4af1-ba01-2b93cba52d9f,infra.huilerie,340,e5a82ad7-7bf9-464f-8f83-0895c51ce99c,0.0,0.7400,DUPLICATE_EXACT,Ikhlas,Ikhlas,,Matmata,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,dca27412-fb9d-4164-8e6a-29f711634b7d,d77646fe-25d3-46fb-baf2-1588647afbf2,infra.huilerie,341,eb4f351c-9556-4701-9b9d-099c40310210,0.0,0.7400,DUPLICATE_EXACT,Coopérative l'oil olive,Coopérative l'oil olive,,Matmata,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,0d60f348-cc2f-44b9-973c-ec41b8696366,3d15ca41-3981-413a-947a-f176b64acf27,infra.huilerie,352,b4a59182-e129-4f3e-ab9b-a54c167e7b17,0.0,0.7400,DUPLICATE_EXACT,Huilerie dada,Huilerie dada,,Matmata,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,971dcb1a-c1ec-477e-bc61-1856f53e13b5,faa9218f-fcc6-4577-ba42-8973bd30953d,infra.huilerie,353,2de522fc-986f-4f9f-b42c-303f95b1c3c8,0.0,0.7400,DUPLICATE_EXACT,Huilerie matmata,Huilerie matmata,,Matmata,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,21d48e77-6bcd-4b90-85a6-b33ff056aca3,d05f625e-6074-4782-bfec-4e081835c421,infra.huilerie,354,ab5f8b69-913c-4e5c-a06d-91a3432f3611,0.0,0.7400,DUPLICATE_EXACT,Non-connue 01,Non-connue 01,,Matmata,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,fc8a618c-b7ad-4d45-a3ec-c7bb6d7d1d12,7f803e57-8299-45b8-8bee-d13aca82e447,infra.huilerie,291,dc892f54-47f7-4847-9198-71c67d3d9172,0.0,0.7400,DUPLICATE_EXACT,ABOUSSAAD,ABOUSSAAD,,Ratba,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
