base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Fe,fe,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Mg,mg,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,T_eau,t eau,parametre_qualite,type_mesure,°C,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,OH,oh,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,CF,cf,parametre_qualite,type_mesure,UFC/100mL,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,DBO5,dbo5,parametre_qualite,type_mesure,mg O2/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,CT,ct,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,HCO3-,hco3-,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,IBD,ibd,parametre_qualite,type_mesure,Indice,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Azote_tot_kjeldhal,azote tot kjeldhal,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,NA,na,parametre_qualite,type_mesure,à confirmer,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Mn,mn,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,CO3,co3,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,ph,ph,parametre_qualite,type_mesure,pH,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Turbidite,turbidite,parametre_qualite,type_mesure,NTU,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Couleur,couleur,parametre_qualite,type_mesure,UCV,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Disque_secchi,disque secchi,parametre_qualite,type_mesure,m,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,MES,mes,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Phénol,phenol,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,NO3-,no3-,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,FM,fm,parametre_qualite,type_mesure,à confirmer,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,SO4,so4,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Azote_tot_kjeld,azote tot kjeld,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
