review_id,review_bucket,source_layer,source_id,source_object_name,source_type,candidate_master_site_id,candidate_site_name,distance_m,match_score,issue_type,suggested_action,reviewer_decision,reviewer_comment,allowed_decisions
4497cc10-0387-4bdf-83e5-2a7d4e3af4f2,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,d72727de-e1f7-4a38-9680-b4d0f3fae5de,Huilerie Ain jouari,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
37506668-ee5b-40c4-8506-e7ec4765ee4b,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,e5a6e526-4fdd-4a7e-985a-62ad199178ee,Huilerie Doukali,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
1ae673cb-80c4-4f84-85fc-473fe208b393,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,ea9bdacc-9717-4ba3-a1db-3523ba30a836,Sté oumatan,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
e75d77b4-bcef-4a97-a85e-1000a9b7a051,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,fe92cdf1-ccb9-41ae-be30-9da27435169d,Meknasa olive,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
ef91165f-13b5-4714-90ef-427ace2305ca,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,feddb89f-d453-40d6-ae48-f1535dad056e,Huilerie Jaouda,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
02cec24b-ca11-4c4e-a8d6-fe9a6d4640c2,ORPHAN_REVIEW,infra.mine,10,,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
4afd7d20-f4d6-4884-a846-a6e1f88b4649,ORPHAN_REVIEW,infra.mine,23,Ste miniere de Taza,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
de2eecb3-952c-4438-afb3-a4d7bdfd6220,ORPHAN_REVIEW,infra.mine,24,STE HERIIERS LAFQUIH 1,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
94bbefa1-a99b-4198-8493-e8de8f9ea393,ORPHAN_REVIEW,infra.mine,27,Salt factory,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
9d55ee24-8e42-42a0-a1bd-1f65f88ba5c4,ORPHAN_REVIEW,infra.mine,40,STE SORECH  MINES,MINE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
