source_schema,source_table,source_pk,source_label,source_code,source_type,source_commune,candidate_master_site_id,candidate_site_code,candidate_site_name,match_method,match_score,distance_m,source_priority,recommended_status,requires_review,reason,run_id,generated_at
infra,mine_inventaire_pollution,6b770e03-98c2-450b-bde5-52d7afd2f7b1,Salt factory,,MINE,Meknassa Al Gharbia,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine_inventaire_pollution,825a0aeb-4429-42d1-b7e5-cafede78085a,STE SORECH  MINES,,MINE,Tazouta,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,135,néant,SMC_DEC,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,138,néant,BTB_DEC,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,139,néant,TKN_DEC,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,150,néant,MAK_DEC,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,153,néant,RZI_DEC,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,205,néant, J_DECH,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,206,néant,KE_DECH,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,decharge,207,néant,B_DECH,DECHARGE,,,,,SPATIAL_NEAREST_25M,0.0,,4,MISSING_GEOMETRY,True,Geometrie source absente.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
