scenario_id,Segment_rejet,Crejet_mg_L,QRejet_m3_s,QSebou_m3_s,QInnaouen_m3_s,QOuergha_m3_s,C_SidiAllalTazi_mg_L,C_BgGarde_mg_L,Statut
SC_QR01_C03_QS02_QI03_QO01,Segment_Pollution_base,200,0.055555556,15,50,10,0.027695678,0.043866321,SUFFISANT
SC_QR01_C03_QS02_QI03_QO02,Segment_Pollution_base,200,0.055555556,15,50,25,0.013829529,0.025871122,SUFFISANT
SC_QR01_C03_QS02_QI03_QO03,Segment_Pollution_base,200,0.055555556,15,50,50,0.009570209,0.010094204,SUFFISANT
SC_QR01_C03_QS02_QI03_QO04,Segment_Pollution_base,200,0.055555556,15,50,100,0.017206876,0.010001906,SUFFISANT
SC_QR01_C03_QS02_QI03_QO05,Segment_Pollution_base,200,0.055555556,15,50,150,0.019221002,0.01420042,SUFFISANT
SC_QR01_C03_QS02_QI03_QO06,Segment_Pollution_base,200,0.055555556,15,50,200,0.018016789,0.015454245,SUFFISANT
SC_QR01_C03_QS02_QI03_QO07,Segment_Pollution_base,200,0.055555556,15,50,400,0.009456625,0.010513942,SUFFISANT
SC_QR01_C03_QS03_QI01_QO01,Segment_Pollution_base,200,0.055555556,30,10,10,0.043504246,0.022109382,SUFFISANT
SC_QR01_C03_QS03_QI01_QO02,Segment_Pollution_base,200,0.055555556,30,10,25,0.052307826,0.036169212,SUFFISANT
SC_QR01_C03_QS03_QI01_QO03,Segment_Pollution_base,200,0.055555556,30,10,50,0.043533895,0.041936837,SUFFISANT
SC_QR01_C03_QS03_QI01_QO04,Segment_Pollution_base,200,0.055555556,30,10,100,0.019233309,0.025302876,SUFFISANT
SC_QR01_C03_QS03_QI01_QO05,Segment_Pollution_base,200,0.055555556,30,10,150,0.008348939,0.0126136,SUFFISANT
SC_QR01_C03_QS03_QI01_QO06,Segment_Pollution_base,200,0.055555556,30,10,200,0.003993252,0.006485632,SUFFISANT
SC_QR01_C03_QS03_QI01_QO07,Segment_Pollution_base,200,0.055555556,30,10,400,0.005563374,0.003902819,SUFFISANT
SC_QR01_C03_QS03_QI02_QO01,Segment_Pollution_base,200,0.055555556,30,25,10,0.056298327,0.061098114,SUFFISANT
SC_QR01_C03_QS03_QI02_QO02,Segment_Pollution_base,200,0.055555556,30,25,25,0.035342399,0.047508128,SUFFISANT
SC_QR01_C03_QS03_QI02_QO03,Segment_Pollution_base,200,0.055555556,30,25,50,0.014961901,0.025150463,SUFFISANT
SC_QR01_C03_QS03_QI02_QO04,Segment_Pollution_base,200,0.055555556,30,25,100,0.008145819,0.006277407,SUFFISANT
SC_QR01_C03_QS03_QI02_QO05,Segment_Pollution_base,200,0.055555556,30,25,150,0.012021759,0.007061585,SUFFISANT
SC_QR01_C03_QS03_QI02_QO06,Segment_Pollution_base,200,0.055555556,30,25,200,0.013592992,0.009510445,SUFFISANT
SC_QR01_C03_QS03_QI02_QO07,Segment_Pollution_base,200,0.055555556,30,25,400,0.010708738,0.010228313,SUFFISANT
SC_QR01_C03_QS03_QI03_QO01,Segment_Pollution_base,200,0.055555556,30,50,10,0.014563002,0.011494292,SUFFISANT
SC_QR01_C03_QS03_QI03_QO02,Segment_Pollution_base,200,0.055555556,30,50,25,0.020256508,0.009106317,SUFFISANT
SC_QR01_C03_QS03_QI03_QO03,Segment_Pollution_base,200,0.055555556,30,50,50,0.026324145,0.015595502,SUFFISANT
SC_QR01_C03_QS03_QI03_QO04,Segment_Pollution_base,200,0.055555556,30,50,100,0.026972581,0.022320045,SUFFISANT
SC_QR01_C03_QS03_QI03_QO05,Segment_Pollution_base,200,0.055555556,30,50,150,0.021614164,0.021559894,SUFFISANT
SC_QR01_C03_QS03_QI03_QO06,Segment_Pollution_base,200,0.055555556,30,50,200,0.016140675,0.01806346,SUFFISANT
SC_QR01_C03_QS03_QI03_QO07,Segment_Pollution_base,200,0.055555556,30,50,400,0.005072951,0.006925886,SUFFISANT
SC_QR01_C04_QS01_QI01_QO01,Segment_Pollution_base,250,0.055555556,7.5,10,10,0.089377925,0.116735838,SUFFISANT
SC_QR01_C04_QS01_QI01_QO02,Segment_Pollution_base,250,0.055555556,7.5,10,25,0.061000686,0.040130671,SUFFISANT
SC_QR01_C04_QS01_QI01_QO03,Segment_Pollution_base,250,0.055555556,7.5,10,50,0.057961766,0.052506704,SUFFISANT
SC_QR01_C04_QS01_QI01_QO04,Segment_Pollution_base,250,0.055555556,7.5,10,100,0.025127154,0.030893423,SUFFISANT
SC_QR01_C04_QS01_QI01_QO05,Segment_Pollution_base,250,0.055555556,7.5,10,150,0.011137405,0.015281506,SUFFISANT
SC_QR01_C04_QS01_QI01_QO06,Segment_Pollution_base,250,0.055555556,7.5,10,200,0.00903283,0.008132034,SUFFISANT
SC_QR01_C04_QS01_QI01_QO07,Segment_Pollution_base,250,0.055555556,7.5,10,400,0.008931269,0.007686456,SUFFISANT
SC_QR01_C04_QS01_QI02_QO01,Segment_Pollution_base,250,0.055555556,7.5,25,10,0.059063815,0.085989967,SUFFISANT
SC_QR01_C04_QS01_QI02_QO02,Segment_Pollution_base,250,0.055555556,7.5,25,25,0.030308137,0.03772122,SUFFISANT
SC_QR01_C04_QS01_QI02_QO03,Segment_Pollution_base,250,0.055555556,7.5,25,50,0.044807006,0.029606991,SUFFISANT
SC_QR01_C04_QS01_QI02_QO04,Segment_Pollution_base,250,0.055555556,7.5,25,100,0.036717094,0.035558641,SUFFISANT
