base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto,qualite_detection
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Phénol,ph,parametre_qualite,val_qual,mg/L,72,72,0,0,33,0.01,2.56,2024-09-13,2025-12-14,"0,122","0,017","0,085",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,PO43-,po4,parametre_qualite,val_qual,à confirmer,163,163,0,0,23,0.02,99.124,2024-09-13,2025-12-14,"8,547","2,168","7,938",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,PT,pt_famille,parametre_qualite,val_qual,à confirmer,163,163,0,0,12,0.055,506.03,2024-09-13,2025-12-14,"1,25","0,18","6,18",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,"RS 
mesuré",rs_mesure,parametre_qualite,val_qual,à confirmer,24,24,0,0,0,252.0,4171.0,2024-09-18,2025-12-13,1004,1127,1327,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Sb,sb,parametre_qualite,val_qual,à confirmer,46,46,0,0,45,0.0109,0.0109,2024-09-13,2025-12-14,"<0,010","0,0109",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Se,se,parametre_qualite,val_qual,à confirmer,46,46,0,0,46,,,2024-09-13,2025-12-14,"<0,005","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,SF,sf,parametre_qualite,val_qual,g/L,184,184,0,0,164,0.0,65.0,2024-09-13,2025-12-14,"3,7x105","9,0 x 105","1,2 x 102",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Sn,sn,parametre_qualite,val_qual,à confirmer,42,42,0,0,13,0.0102,0.8848,2024-09-13,2025-12-11,"<0,010","0,0102","0,0106",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,SO4--,so4,parametre_qualite,val_qual,à confirmer,189,189,0,0,0,2.48,1959.0,2024-09-13,2025-12-14,75,"27,3","98,3",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,"somme
anions_meq/l3",somme_anions_meq_l3,parametre_qualite,val_qual,à confirmer,28,28,0,0,0,3.50430391,252.7530891,2024-09-20,2025-12-13,"11,79167542","12,17263829","12,2166989",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,"somme
anions_mg/l4",somme_anions_mg_l4,parametre_qualite,val_qual,mg/L,28,28,0,0,0,69.63,5451.94,2024-09-20,2025-12-13,"101,95","102,09","1200,64",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Sr,sr,parametre_qualite,val_qual,à confirmer,5,5,0,0,0,0.1099,39.23,2025-10-23,2025-10-31,"0,1099","0,1479","0,3742",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,TA_°F,ta_deg_f,parametre_qualite,val_qual,à confirmer,32,32,0,0,0,0.0,0.0,2024-09-18,2025-12-13,0,,,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,TA_meq/l,ta_meq_l,parametre_qualite,val_qual,à confirmer,32,32,0,0,0,0.0,0.0,2024-09-18,2025-12-13,0,,,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,TAC_°F,tac_deg_f,parametre_qualite,val_qual,à confirmer,32,32,0,0,0,10.9,68.8,2024-09-18,2025-12-13,"10,9","13,7","14,2",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,TAC_meq/l,tac_meq_l,parametre_qualite,val_qual,à confirmer,32,32,0,0,0,2.18,13.76,2024-09-18,2025-12-13,"10,2","10,92","11,4",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,TH,th,parametre_qualite,val_qual,°F,189,189,0,0,0,11.51209926,437.4844755,2024-09-13,2025-12-14,"47,49500998","25,02279392","33,9817279",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Tl,tl,parametre_qualite,val_qual,à confirmer,14,14,0,0,2,0.014,0.1127,2025-10-13,2025-10-31,"<0,010","0,014","0,0181",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,V,v,parametre_qualite,val_qual,à confirmer,42,42,0,0,21,0.0076,0.3719,2024-09-13,2025-12-11,"<0,005","<0,010","0,0076",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Zn,zn,parametre_qualite,val_qual,à confirmer,42,42,0,0,13,0.0113,0.5924,2024-09-13,2025-12-11,"<0,00025","<0,010","0,0113",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Arsenic,arsenic,parametre_qualite,val_qual,à confirmer,8,8,0,0,8,,,2025-10-08,2025-10-29,"<0,005","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Bilan_Ionique,bilan_ionique,parametre_qualite,val_qual,à confirmer,89,85,4,0,0,0.040490623,9.794268427,2025-10-06,2025-12-01,"7,513775763","6,182296049","0,832945489",abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Ca++,ca,parametre_qualite,val_qual,à confirmer,89,89,0,0,0,17.6,1222.0,2025-10-06,2025-12-01,"30,1",126,"58,5",abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Cadmium,cadmium,parametre_qualite,val_qual,à confirmer,8,8,0,0,8,,,2025-10-08,2025-10-29,"<0,0005","<0,001",,abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,CF,cf,parametre_qualite,val_qual,UFC/100mL,89,89,0,0,52,0.0,90.0,2025-10-06,2025-12-01,"7,5.104","1,5.102","3,3.102",abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Chl a,chla,parametre_qualite,val_qual,à confirmer,38,38,0,0,6,0.54,459.0,2025-10-06,2025-11-13,"<0,1","0,54","0,6",abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Chrome,chrome,parametre_qualite,val_qual,à confirmer,8,8,0,0,7,0.009,0.009,2025-10-08,2025-10-29,"<0,005","<0,010","0,009",abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Cl-_IC,cl_ic,parametre_qualite,val_qual,à confirmer,127,127,0,0,0,3.77,20625.0,2025-10-06,2025-12-01,"60,9","27,3",129,abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,CO3,co3,parametre_qualite,val_qual,mg/L,89,89,0,0,0,0.0,6.24,2025-10-06,2025-12-01,0,"6,24",,abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_marche_cadre,qualité,colonne_parametre,Cobalt,cobalt,parametre_qualite,val_qual,à confirmer,8,8,0,0,8,,,2025-10-08,2025-10-29,"<0,005","<0,010",,abh_sebou_ismail.public.idp_2024_mesures_qualite_marche_cadre,paramètre détecté depuis une colonne explicite,forte
