parametre,volume,min,max,moyenne,null,non_numerique,negatif,date_min,date_max
H2S,4,0.0,16.0,,0,0,0,1991-03-27,1994-07-11
HCO,3,195.0,366.0,,0,0,0,1996-01-16,1996-06-13
HCO3,121,17.1,969.0,,0,0,0,2024-09-18,2025-12-13
HCO3-,4564,0.0,1561.0,,0,0,0,1988-10-03,2024-11-26
HCT,492,0.0,212.47,,0,0,0,1994-05-17,2018-09-26
H_G,4726,0.0,44.1,,0,0,0,1991-03-27,2026-01-06
Hg,261,0.0,0.695,,0,24,0,1990-01-31,2025-12-14
"Huiles
Graisses",72,0.44,126.0,,0,22,0,2024-09-13,2025-12-14
"Huiles
Graisses (H G T)",27,0.417,8.89,,0,10,0,2025-10-08,2025-11-20
IBD,142,0.0,16.652,,0,0,0,2003-05-27,2009-10-28
IBGN,47,1.0,16.0,,0,0,0,2009-03-12,2009-10-28
IP,75,0.527,9.22,,0,51,0,2024-09-18,2025-12-13
IP(mgO2/l),182,0.80334728,3.49,,94,0,0,2023-01-03,2025-09-22
Indicedephénol(mg/l),182,0.01,0.2,,0,0,0,2023-01-03,2025-09-22
K,4556,0.0,30810.0,,0,0,0,1988-09-20,2024-11-26
K+,261,0.264,633.0,,0,0,0,2024-09-13,2025-12-14
K+4,89,0.264,376.0,,0,0,0,2025-10-06,2025-12-01
Largeur,197,0.0,60.0,,0,0,0,1994-07-06,2005-10-13
Li,50,0.0082,3.374,,0,10,0,1994-07-06,2025-12-14
Litium(mg/l),182,0.0069,0.0643,,160,0,0,2023-01-03,2025-09-22
MD,2,0.0,0.0,,0,0,0,1994-07-06,1994-07-11
MES,2564,0.0,89271.0,,0,3,0,1988-09-22,2025-12-14
MEST Filtr,77,3.2,1484.0,,0,16,0,2025-10-06,2025-11-20
MEST(mg/l),182,6.8,47431.0,,0,0,0,2023-01-03,2025-09-22
MO,2658,0.0,1092.0,,0,0,0,1990-08-15,2024-11-28
Manganèse(mg/l),182,0.005,0.137,,2,0,0,2023-01-03,2025-09-22
Mercure,8,,,,0,8,0,2025-10-08,2025-10-29
Mercure(mg/l),182,0.00025,0.564,,160,0,0,2023-01-03,2025-09-22
Mg,4533,0.02,1043.0,,0,0,0,1988-10-03,2024-11-20
Mg++,278,2.4,1215.0,,0,0,0,2024-09-13,2025-12-14
