node_id,geom
282,01010000204F6600000023DB79B2A71B410086C9D407561741
283,01010000204F6600000052B89E74971B4140E17A548CC21A41
284,01010000204F660000002CD41A2FEA1C4100F46C164EE91741
285,01010000204F66000080C5FEF28DB91C41C0293A929ADC1741
286,01010000204F660000006D567D63931B4140D191DCBFF41A41
287,01010000204F66000000B459356A511B4100AAF192D7F21A41
288,01010000204F6600000088F4DB526E1B41C04D629054AA1741
289,01010000204F66000000948785DACA1A41000C932990CF1541
290,01010000204F66000000A470FDFFE61A41409FAB6D1D071641
291,01010000204F66000080E926B1403F1B4180C0CAA1D04B1641
292,01010000204F660000800E2DF285CF1B418048BFFDEA9F1541
293,01010000204F660000803BDF0F31121B4180F6069F39371641
294,01010000204F6600000097FF5017921B41C002090A19AC1541
295,01010000204F66000080999919B9AC1B4100C7BA78194B1A41
296,01010000204F660000006E3480695D1B4180F4DBD7447A1641
297,01010000204F660000008941E0E2991B41C09BC420FE7D1641
298,01010000204F66000000C286672BB21B41C067B32A5AB31641
299,01010000204F660000807DAEB6878E1B41C089B021D1641641
300,01010000204F6600000077BE5F068C1B4100D578A955381641
301,01010000204F660000007D3FB5F8861B41C07268113FF41541
302,01010000204F6600000085EB51F9CA1B41C0FA5C2DF93B1A41
303,01010000204F66000080BA494C7B201C4180B20C3173541A41
304,01010000204F66000080F4DBD72D2D1C41C0E848EE32CC1541
305,01010000204F66000080840D8F2FAE1B41C078E926D3DB1541
306,01010000204F660000804E4053F8B81F41803F351E55EE1B41
307,01010000204F660000005839B4FC581C4140C286E7A91A1641
308,01010000204F660000007C6132E8FF1B4100780BA442E11541
309,01010000204F66000000CCEE09860A1C41C0F3FD1445A91541
310,01010000204F660000009A085BB3D51B41C09BC42050DC1541
311,01010000204F66000000F1F48A7F671B4140840D4F368A1541
312,01010000204F660000807424978C0A1E41A04469AFAF3B1A41
313,01010000204F66000080DD9347DAF41A41C045B673889C1441
314,01010000204F66000000DCD7014CD91A4140EF3845F3C81441
315,01010000204F6600008045B6F30F861A4140B072A80DEB1941
316,01010000204F660000007A366B7C76194180FF90BE66241641
317,01010000204F66000000143F46CB621941806CE7BB72911641
318,01010000204F6600000075025AD16D1B41C0408222D8D21941
319,01010000204F66000080F2B050E75B1941409B551F0AD91841
320,01010000204F66000000083D9B78721941C00C71ECE5591641
321,01010000204F66000000371A80FB5619414096218E36D21641
322,01010000204F660000805DDC8641321A41C0293A12FD0F1B41
323,01010000204F6600008017B711E54D1941808CB92BC2041741
324,01010000204F6600008031776DD11C194100B37B3279121841
325,01010000204F66000080D93D79AE2419410034117695281741
326,01010000204F66000000D122DB50C41841004FAF14EBEF1941
327,01010000204F6600008016D98EE5A318414074241727211A41
328,01010000204F66000000C66D7446351941405530EA398D1741
329,01010000204F66000080ED7C7FF22219414041F123F3AC1741
330,01010000204F66000080A0F8B1348F18414008ACDC4EDA1941
331,01010000204F66000080C2F568F2B11E41C016D90E4F501A41
332,01010000204F6600000067D5A79B0C19410051DA9BDD5C1741
333,01010000204F6600000077BEDF0A191941402EFFA182DF1741
334,01010000204F660000805F070E85381941808A8EE4FA461841
335,01010000204F660000000BB56633461941003411B637A51841
336,01010000204F660000807CD0B369491941401AC09B097D1841
337,01010000204F66000080E09C11DA5C194140643B9FB63E1941
338,01010000204F6600000039458774D71841C0E3141D2E561941
339,01010000204F6600000001DE42310D194180DB6880882C1A41
340,01010000204F66000000B072680C651841C0FA5C6DBE7C1941
341,01010000204F66000080D5E7AAA34B1A41C076BEDFFBE01B41
342,01010000204F6600000042CF2693151A4100BADACA68E91A41
343,01010000204F660000009D11E556E91941C042ADA949E01A41
344,01010000204F66000080900FBA66821941407958A81E691A41
345,01010000204F660000008195836BE41941C037F8C24C331A41
346,01010000204F660000004703F8273A1941C054C128796C1A41
347,01010000204F660000803789814CAE19414041F163C4501A41
348,01010000204F66000000772DE185D41E41C0C64BF7FB3B1A41
349,01010000204F66000000DCD701F6031B412051DA5B23CD1B41
350,01010000204F6600000098DDD323EA1A41807EFB7AAA091B41
351,01010000204F660000808FC27542151B4180F2B0D0ECEE1A41
352,01010000204F66000000F1F40A07431B41805452E7AC171C41
353,01010000204F66000080DA1B3C49AB1B4180D71272C07B1A41
354,01010000204F660000004703F8378F1B4140992A58E9A01A41
355,01010000204F6600008014AEC704881B41C059F5794DE51A41
356,01010000204F66000080D712F2A1C61B41C0EA73B5D9791941
357,01010000204F6600008048BFFD080F1C4140522760CD541941
358,01010000204F66000000431C6B8AE91B41C0F7536329671941
359,01010000204F660000005EBAC9D9931B4100DAAC7A961A1941
360,01010000204F660000802F4CE6F06E1B41002B87967B531941
361,01010000204F6600008028EDCD96F21A4180AA60D4BA7C1941
362,01010000204F660000802A18D540A01A4180F2B05080CE1941
363,01010000204F660000001748904D2C1B41C000DE42AB8A1941
364,01010000204F660000003CBD5253FF1E41C02C435C283C1A41
365,01010000204F660000DE5BC54D5A5F1E414F44B31E53021C41
366,01010000204F6600008013614378301F4180A301FCEFA81B41
367,01010000204F66000000C7BA789B721B4140B4C8F67CE21741
368,01010000204F66000080506B1AF55F1B4100EA9532AB3A1841
369,01010000204F66000000F6979DECAF1C4140ED0D7E4BFC1741
370,01010000204F66000000B9FCC74D661B410062A1164B6A1841
371,01010000204F66000000189594A5811B41803BDF8F91CB1841
372,01010000204F66000000DAACFAAA201F41406C787ACD631B41
373,01010000204F66000000ED0DBE78C71C4180A1D6F48D0A1841
374,01010000204F660000802A18558ED01C4140EC2FBBBD291841
375,01010000204F660000809D80269BA01C41C032C471A7951841
376,01010000204F66000000BF0E1C66AB1C41C0E00BD318811841
377,01010000204F66000000560EED0CC61C41C09BC4E0EA4F1841
378,01010000204F660000809D8066F08C1C41C0D6342F87E51841
379,01010000204F6600008016D98EE59A1C41C012F201FCAE1841
380,01010000204F6600000089D21E368B1C41C0408262DCC51841
381,01010000204F660000807346D43C3A1F4100C3646A00291B41
382,01010000204F66000080976E52E4811C41C079C7E9A1F31841
383,01010000204F66000000394547F1761C41C0293A528D061941
