source_table,code_debit,ire_station,station_id,date_jr,valeur_source_brute,valeur_brute,valeur_preparee,valeur_cible,unite_source,unite_finale,conversion_regle,flags_qa,ratio_prepare_sur_brut,classification
raw_mesures_debit_jr,1635,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-02-21,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1766,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-02,0.105,0.105,0.0,0.105,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1775,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-11,0.105,0.105,0.0,0.105,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1776,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-12,0.109,0.109,0.0,0.109,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1777,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-13,0.101,0.101,0.0,0.101,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1778,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-14,0.106,0.106,0.0,0.106,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1779,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-15,0.106,0.106,0.0,0.106,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1780,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-16,0.101,0.101,0.0,0.101,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1795,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-07-31,0.101,0.101,0.0,0.101,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1902,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-11-15,0.109,0.109,0.0,0.109,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
