table_source,id_ligne,date,code_source,nom_source,parametre,raison_orphelin,proposition_action
staging.raw_suivi_qualite_brg_garde_hebdo,92,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,93,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,94,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,95,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,96,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,97,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,98,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,99,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,100,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_idp_2024_mesures_qualite_globale,,,,,,IRE absent,"rattacher via referentiel si code corrige, sinon quarantaine"
