domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
idp,staging.raw_idp_2024_mesures_qualite_globale,,"DCO  D 
 2h","DCO  D 
 2h",,idp_2024,point_prelevement,,,,coord_x/coord_y,600202.0,406183.0,false,GEO_NO_REF,volume=2 | xy=2,BACKLOG_GEO,2,0,2,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe,Fe,,idp_2024,point_prelevement,,,,coord_x/coord_y,446982.0,441695.0,false,GEO_AMBIGU,volume=22 | xy=22,RATTACHER_MANUELLEMENT,22,0,0,0,22,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe,Fe,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=53 | xy=41,BACKLOG_GEO,53,0,53,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe,Fe,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=22 | xy=22,MIGRER_AVEC_FLAG,22,22,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe2+,Fe2+,,idp_2024,point_prelevement,,,,coord_x/coord_y,475284.0,347419.0,false,GEO_AMBIGU,volume=1 | xy=1,RATTACHER_MANUELLEMENT,1,0,0,0,1,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe2+,Fe2+,,idp_2024,point_prelevement,,,,coord_x/coord_y,453061.0,434317.0,false,GEO_NO_REF,volume=4 | xy=4,BACKLOG_GEO,4,0,4,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Fe2+,Fe2+,,idp_2024,point_eau,5106d462-a56f-4e2f-8b90-089e7976c816,,Ain LABAROUAL,coord_x/coord_y,452194.0,478711.0,true,GEO_XY_OK,volume=1 | xy=1,MIGRER_AVEC_FLAG,1,1,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,HCO3,HCO3,,idp_2024,point_prelevement,,,,coord_x/coord_y,507600.0,311800.0,false,GEO_AMBIGU,volume=2 | xy=2,RATTACHER_MANUELLEMENT,2,0,0,0,2,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,HCO3,HCO3,,idp_2024,point_prelevement,,,,coord_x/coord_y,514759.0,421189.0,false,GEO_NO_REF,volume=12 | xy=12,BACKLOG_GEO,12,0,12,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,HCO3,HCO3,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=18 | xy=18,MIGRER_AVEC_FLAG,18,18,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Hg,Hg,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=12 | xy=12,RATTACHER_MANUELLEMENT,12,0,0,0,12,0
