source_row_id,ire_barrage,date_jr,barrage_id,rn,exclusion_reason
61694,2847/15,2019-03-03,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61704,2847/15,2019-03-04,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61714,2847/15,2019-03-05,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61724,2847/15,2019-03-06,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61734,2847/15,2019-03-07,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61744,2847/15,2019-03-08,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61754,2847/15,2019-03-09,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61764,2847/15,2019-03-10,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61774,2847/15,2019-03-11,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61784,2847/15,2019-03-12,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61794,2847/15,2019-03-13,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61804,2847/15,2019-03-14,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61814,2847/15,2019-03-15,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61824,2847/15,2019-03-16,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61834,2847/15,2019-03-17,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61844,2847/15,2019-03-18,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61854,2847/15,2019-03-19,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61864,2847/15,2019-03-20,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61874,2847/15,2019-03-21,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61884,2847/15,2019-03-22,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61894,2847/15,2019-03-23,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61904,2847/15,2019-03-24,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61914,2847/15,2019-03-25,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61924,2847/15,2019-03-26,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61934,2847/15,2019-03-27,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61944,2847/15,2019-03-28,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61954,2847/15,2019-03-29,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61964,2847/15,2019-03-30,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61974,2847/15,2019-03-31,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61984,2847/15,2019-04-01,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61994,2847/15,2019-04-02,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62004,2847/15,2019-04-03,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62014,2847/15,2019-04-04,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62024,2847/15,2019-04-05,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62034,2847/15,2019-04-06,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62044,2847/15,2019-04-07,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62054,2847/15,2019-04-08,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62064,2847/15,2019-04-09,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62074,2847/15,2019-04-10,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62084,2847/15,2019-04-11,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62094,2847/15,2019-04-12,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62104,2847/15,2019-04-13,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62114,2847/15,2019-04-14,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62124,2847/15,2019-04-15,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62134,2847/15,2019-04-16,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62144,2847/15,2019-04-17,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62154,2847/15,2019-04-18,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62164,2847/15,2019-04-19,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62174,2847/15,2019-04-20,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62184,2847/15,2019-04-21,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62194,2847/15,2019-04-22,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62204,2847/15,2019-04-23,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62214,2847/15,2019-04-24,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62224,2847/15,2019-04-25,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62234,2847/15,2019-04-26,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62244,2847/15,2019-04-27,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62254,2847/15,2019-04-28,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62264,2847/15,2019-04-29,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62274,2847/15,2019-04-30,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62284,2847/15,2019-05-01,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62294,2847/15,2019-05-02,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62304,2847/15,2019-05-03,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62314,2847/15,2019-05-04,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62324,2847/15,2019-05-05,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62334,2847/15,2019-05-06,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62344,2847/15,2019-05-07,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62354,2847/15,2019-05-08,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62364,2847/15,2019-05-09,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62374,2847/15,2019-05-10,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62384,2847/15,2019-05-11,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62394,2847/15,2019-05-12,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62404,2847/15,2019-05-13,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
62414,2847/15,2019-05-14,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
