table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_marche_cadre,1876,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1877,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1878,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1879,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,188,396150.0,380300.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,20117.955,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1880,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1881,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1882,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1883,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1884,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1885,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1886,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1887,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1888,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1889,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,189,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1890,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1891,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1892,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1893,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1894,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1895,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1896,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1897,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1898,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1899,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,19,381040.0,389473.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,2472.061,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,190,449723.0,470980.0,staging.raw_idp_2024_src_pollution_globale,129,455166.0,465731.0,7561.63,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1900,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1901,519365.0,323187.0,staging.raw_idp_2024_src_pollution_globale,151,519827.0,322725.0,653.367,distant
